7.2651,7.1433,7.7346
1.1942,1.4676,1.2758
1.0031,1.1819,1.0247
0.81405,1.0332,0.80174
0.69101,0.87002,0.71865
0.5723,0.74676,0.62303
0.50853,0.65057,0.54235
0.44467,0.51451,0.45507
0.41641,0.49647,0.44977
0.37069,0.47343,0.37953
0.35256,0.41507,0.37187
0.33866,0.39742,0.34357
0.31828,0.38993,0.33975
0.30441,0.35376,0.31969
0.28509,0.33068,0.29901
0.27257,0.32528,0.27722
0.24695,0.31588,0.26409
0.23692,0.28951,0.26074
0.23076,0.28126,0.24681
0.22648,0.27014,0.23467
0.2098,0.26166,0.23051
0.2031,0.25557,0.22508
0.19368,0.24987,0.2157
0.18797,0.2456,0.20422
0.17508,0.22646,0.19567
0.17268,0.22041,0.18858
0.16489,0.2128,0.18067
0.15968,0.20229,0.17815
0.15555,0.19646,0.17168
0.14584,0.18656,0.16782
0.14113,0.18415,0.16081
0.1344,0.16983,0.15681
0.13264,0.16489,0.15553
0.12889,0.15944,0.14904
0.12611,0.15717,0.14104
0.12137,0.15178,0.13837
0.11729,0.15011,0.13589
0.11628,0.1453,0.12979
0.11114,0.14014,0.12796
0.10677,0.13872,0.12614
0.10423,0.13278,0.11997
0.10165,0.13128,0.11721
0.099349,0.12712,0.11348
0.095947,0.12202,0.11086
0.094794,0.11973,0.10708
0.092966,0.1158,0.10575
0.090057,0.10988,0.10341
0.084218,0.10714,0.10169
0.082846,0.10609,0.097963
0.081748,0.1021,0.09558
0.079573,0.099847,0.090234
0.076855,0.098879,0.087329
0.073958,0.097676,0.083746
0.072488,0.094048,0.081532
0.067671,0.092381,0.079634
0.066281,0.088095,0.078051
0.064488,0.087261,0.074452
0.063544,0.083198,0.072427
0.063426,0.079302,0.072202
0.060703,0.078415,0.068402
0.059094,0.076688,0.0668
0.057344,0.073749,0.063769
0.054769,0.07229,0.062166
0.054183,0.06921,0.061235
0.052091,0.066757,0.059697
0.050917,0.061966,0.056667
0.049422,0.061774,0.056273
0.045332,0.060978,0.054856
0.043624,0.059402,0.052106
0.04265,0.056827,0.049831
0.042025,0.056421,0.049466
0.039462,0.054944,0.04839
0.038172,0.052723,0.047723
0.037053,0.051604,0.045092
0.035586,0.049516,0.043416
0.034977,0.048726,0.042017
0.033359,0.04792,0.039941
0.032111,0.045894,0.039587
0.031673,0.044902,0.037368
0.029776,0.04254,0.036386
0.02824,0.041344,0.035216
0.028052,0.039654,0.033447
0.027156,0.039082,0.032864
0.026157,0.0373,0.031958
0.024447,0.035807,0.030892
0.022244,0.034715,0.03037
0.02187,0.033346,0.02973
0.021347,0.032888,0.029575
0.021108,0.031023,0.027676
0.019935,0.029935,0.026272
0.018413,0.028601,0.024708
0.01695,0.027432,0.023423
0.016299,0.02646,0.023214
0.015662,0.024481,0.021318
0.014343,0.022857,0.019025
0.013268,0.021697,0.018188
0.012632,0.019267,0.016665
0.010824,0.01701,0.013965
