1.6694,2.6777,1.7369
0.77842,1.0007,1.0526
0.46838,0.70275,0.80851
0.34123,0.55022,0.66264
0.32494,0.43925,0.44245
0.29293,0.40215,0.38837
0.28242,0.36309,0.35601
0.24021,0.30658,0.34577
0.23153,0.29345,0.31184
0.22341,0.27953,0.28533
0.20087,0.24915,0.26758
0.17647,0.23875,0.25729
0.16464,0.22791,0.23749
0.1637,0.20138,0.22796
0.1536,0.19094,0.2146
0.13925,0.17706,0.19875
0.13645,0.17283,0.18908
0.12884,0.17001,0.182
0.12128,0.15538,0.17142
0.11203,0.1459,0.15688
0.10804,0.13949,0.14874
0.097874,0.12947,0.14416
0.095912,0.12757,0.13849
0.091984,0.12416,0.13209
0.088673,0.11689,0.12899
0.085748,0.11358,0.12745
0.081303,0.11098,0.12143
0.07742,0.10965,0.11398
0.072871,0.10537,0.10872
0.070353,0.1007,0.10397
0.068506,0.0982,0.1017
0.06588,0.087396,0.098138
0.061975,0.084811,0.093855
0.057895,0.080878,0.091479
0.056864,0.079346,0.087142
0.05419,0.079208,0.083971
0.051059,0.075337,0.080463
0.049394,0.071567,0.077016
0.046942,0.070904,0.07605
0.046521,0.068663,0.075044
0.043897,0.066978,0.069228
0.043066,0.065618,0.067086
0.041121,0.060818,0.065799
0.039686,0.05873,0.063777
0.038208,0.058352,0.062274
0.037406,0.056512,0.058236
0.035966,0.053314,0.057041
0.035297,0.052135,0.055931
0.033512,0.051391,0.052524
0.032397,0.048492,0.052321
0.031781,0.046249,0.049991
0.030438,0.044543,0.049361
0.029387,0.043851,0.047188
0.028096,0.043134,0.044269
0.027388,0.041206,0.043596
0.02631,0.039961,0.041455
0.025526,0.038819,0.039102
0.024592,0.037496,0.037461
0.023545,0.036603,0.036994
0.022954,0.034619,0.035281
0.022171,0.034565,0.03389
0.020812,0.033208,0.032132
0.020077,0.031522,0.031751
0.019344,0.030206,0.030885
0.018171,0.028619,0.029161
0.017383,0.028138,0.027741
0.016078,0.02747,0.02745
0.015327,0.025784,0.02685
0.01402,0.024612,0.025606
0.01356,0.022987,0.024953
0.013521,0.022775,0.023641
0.012244,0.022144,0.022768
0.01187,0.021568,0.022029
0.011396,0.020583,0.020958
0.011059,0.020354,0.020542
0.010083,0.019197,0.018906
0.0098436,0.018573,0.018739
0.0097015,0.017306,0.017242
0.0091667,0.01713,0.017167
0.0088134,0.015602,0.015888
0.0081846,0.015292,0.015747
0.0077399,0.014864,0.014789
0.0071839,0.01398,0.014272
0.0064951,0.013238,0.012993
0.0063381,0.012386,0.012514
0.0058748,0.012289,0.012293
0.0057238,0.011375,0.011872
0.0053681,0.010292,0.010748
0.0049062,0.0099455,0.010343
0.0048493,0.0095253,0.0097949
0.0047069,0.009227,0.0094209
0.0043395,0.008895,0.0086905
0.0038657,0.0085072,0.0079944
0.0031205,0.0076764,0.0078057
0.0029792,0.007114,0.0075166
0.0027257,0.0070315,0.0063452
0.0025844,0.0068225,0.005957
0.0022397,0.0057432,0.0057
0.0020743,0.0037435,0.0046977
